-0.299092,-0.954224,0,,,
-0.31129,-0.950315,0,,,
2018,11,26,6,29,46.9997
2018,11,26,6,29,47.9997
-0.429453,-0.903089,0,,,
2018,11,26,6,29,48.9997
-0.429038,-0.903286,0,,,
2018,11,26,6,29,49.9997
2018,11,26,6,29,50.9997
-0.472502,-0.881329,0,,,
2018,11,26,6,29,51.9997
2018,11,26,6,29,52.9997
-0.51627,-0.856426,0,,,
2018,11,26,6,29,53.9997
2018,11,26,6,29,54.9997
-0.327522,-0.944844,0,,,
2018,11,26,6,29,55.9997
2018,11,26,6,29,56.9997
-0.46668,-0.884426,0.000000    26,6,29,56.9997
2018,11,26,6,29,57.9997
-0.495981,-0.868334,0.000000    26,6,29,57.9997
2018,11,26,6,29,58.9997
2018,11,26,6,29,59.9997
-0.507863,-0.861438,0.000000    26,6,29,59.9997
2018,11,26,6,30,0.9997
-0.540645,-0.841251,0.000000    26,6,30,0.9997
2018,11,26,6,30,1.9997
2018,11,26,6,30,2.9997
-0.374809,-0.927102,0.000000    26,6,30,2.9997
2018,11,26,6,30,3.9997
-0.548294,-0.836286,0.000000    26,6,30,3.9997
2018,11,26,6,30,4.9997
-0.52553,-0.850775,0.000000    26,6,30,4.9997
2018,11,26,6,30,5.9997
-0.368152,-0.929766,0.000000    26,6,30,5.9997
2018,11,26,6,30,6.9997
-0.503472,-0.864012,0.000000    26,6,30,6.9997
2018,11,26,6,30,7.9997
2018,11,26,6,30,8.9997
-0.481483,-0.876455,0.000000    26,6,30,8.9997
-0.49937,-0.866389,0.000000    26,6,30,8.9997
2018,11,26,6,30,9.9997
-0.360612,-0.932716,0.000000    26,6,30,9.9997
2018,11,26,6,30,10.9997
-0.374723,-0.927137,0.000000    26,6,30,10.9997
2018,11,26,6,30,11.9997
-0.525009,-0.851097,0.000000    26,6,30,11.9997
2018,11,26,6,30,12.9997
2018,11,26,6,30,13.9997
-0.489776,-0.871848,0.000000    26,6,30,13.9997
2018,11,26,6,30,14.9997
-0.363732,-0.931504,0.000000    26,6,30,14.9997
-0.473817,-0.880623,0.000000    26,6,30,14.9997
2018,11,26,6,30,15.9997
-0.362556,-0.931962,0.000000    26,6,30,15.9997
2018,11,26,6,30,16.9997
-0.512278,-0.858819,0.000000    26,6,30,16.9997
-0.458652,-0.888616,0.000000    26,6,30,16.9997
2018,11,26,6,30,17.9997
2018,11,26,6,30,18.9997
-0.360687,-0.932687,0.000000    26,6,30,18.9997
2018,11,26,6,30,19.9997
-0.461113,-0.887341,0.000000    26,6,30,19.9997
-0.474491,-0.88026,0.000000    26,6,30,19.9997
2018,11,26,6,30,20.9997
-0.317551,-0.948241,0.000000    26,6,30,20.9997
-0.318656,-0.94787,0.000000    26,6,30,20.9997
2018,11,26,6,30,21.9997
-0.338668,-0.940906,0.000000    26,6,30,21.9997
2018,11,26,6,30,22.9997
-0.323152,-0.946347,0.000000    26,6,30,22.9997
2018,11,26,6,30,23.9997
2018,11,26,6,30,24.9997
-0.316382,-0.948632,0.000000    26,6,30,24.9997
2018,11,26,6,30,25.9997
-0.310006,-0.950734,0.000000    26,6,30,25.9997
2018,11,26,6,30,26.9997
-0.31639,-0.948629,0.000000    26,6,30,26.9997
2018,11,26,6,30,27.9997
-0.272207,-0.962239,0.000000    26,6,30,27.9997
2018,11,26,6,30,28.9997
-0.297513,-0.954718,0.000000    26,6,30,28.9997
2018,11,26,6,30,29.9997
-0.237666,-0.971347,0.000000    26,6,30,29.9997
2018,11,26,6,30,30.9997
-0.275466,-0.961311,0.000000    26,6,30,30.9997
2018,11,26,6,30,31.9997
-0.282392,-0.959299,0.000000    26,6,30,31.9997
2018,11,26,6,30,32.9997
-0.233395,-0.972382,0.000000    26,6,30,32.9997
2018,11,26,6,30,33.9997
-0.207543,-0.978226,0.000000    26,6,30,33.9997
2018,11,26,6,30,34.9997
-0.197834,-0.980235,0.000000    26,6,30,34.9997
2018,11,26,6,30,35.9997
-0.184551,-0.982823,0.000000    26,6,30,35.9997
-0.161381,-0.986892,0.000000    26,6,30,35.9997
2018,11,26,6,30,36.9997
-0.164607,-0.986359,0.000000    26,6,30,36.9997
2018,11,26,6,30,37.9997
-0.168024,-0.985783,0.000000    26,6,30,37.9997
2018,11,26,6,30,38.9997
-0.140366,-0.9901,0.000000    26,6,30,38.9997
-0.164831,-0.986322,0.000000    26,6,30,38.9997
2018,11,26,6,30,39.9997
-0.179161,-0.98382,0.000000    26,6,30,39.9997
-0.226061,-0.974113,0.000000    26,6,30,39.9997
2018,11,26,6,30,40.9997
-0.216942,-0.976184,0.000000    26,6,30,40.9997
2018,11,26,6,30,41.9997
-0.148963,-0.988843,0.000000    26,6,30,41.9997
2018,11,26,6,30,42.9997
-0.195174,-0.980769,0.000000    26,6,30,42.9997
2018,11,26,6,30,43.9997
-0.16078,-0.98699,0.000000    26,6,30,43.9997
2018,11,26,6,30,44.9997
